ID Lokasi;Waktu;Suhu Min;Suhu Max;Kelembapan Min;Kelembapan Max;Kelembapan;Suhu;Cuaca;Arah Angin;Kecepatan Angin
501186;2024-10-10 00:00:00;;;;;80;27;1;NE;1
501186;2024-10-10 01:00:00;;;;;70;28;1;NE;1
501186;2024-10-10 02:00:00;;;;;61;30;1;SE;9
501186;2024-10-10 03:00:00;;;;;56;30;1;SE;9
501186;2024-10-10 04:00:00;;;;;57;31;1;SE;9
501186;2024-10-10 05:00:00;;;;;58;31;1;S;19
501186;2024-10-10 06:00:00;;;;;63;31;1;S;19
501186;2024-10-10 07:00:00;;;;;63;30;1;S;19
501186;2024-10-10 08:00:00;;;;;67;29;1;S;18
501186;2024-10-10 09:00:00;;;;;70;28;1;S;18
501186;2024-10-10 10:00:00;;;;;75;28;0;S;18
501186;2024-10-10 11:00:00;;;;;79;27;1;S;6
501186;2024-10-10 12:00:00;24.0;31.0;56.0;97.0;81;27;1;S;6
501186;2024-10-10 13:00:00;;;;;83;27;1;S;6
501186;2024-10-10 14:00:00;;;;;86;26;1;W;2
501186;2024-10-10 15:00:00;;;;;90;26;1;W;2
501186;2024-10-10 16:00:00;;;;;92;25;1;W;2
501186;2024-10-10 17:00:00;;;;;93;25;1;NW;1
501186;2024-10-10 18:00:00;;;;;94;24;1;NW;1
501186;2024-10-10 19:00:00;;;;;96;24;0;NW;1
501186;2024-10-10 20:00:00;;;;;97;24;1;NE;3
501186;2024-10-10 21:00:00;;;;;97;24;1;NE;3
501186;2024-10-10 22:00:00;;;;;97;24;1;NE;3
501186;2024-10-10 23:00:00;;;;;94;25;1;N;4
501186;2024-10-11 00:00:00;;;;;83;27;1;N;4
501186;2024-10-11 01:00:00;;;;;70;29;1;N;4
501186;2024-10-11 02:00:00;;;;;61;30;1;SE;8
501186;2024-10-11 03:00:00;;;;;57;30;1;SE;8
501186;2024-10-11 04:00:00;;;;;56;31;1;SE;8
501186;2024-10-11 05:00:00;;;;;55;32;1;SE;16
501186;2024-10-11 06:00:00;;;;;57;31;1;SE;16
501186;2024-10-11 07:00:00;;;;;60;31;1;SE;16
501186;2024-10-11 08:00:00;;;;;63;30;1;SE;21
501186;2024-10-11 09:00:00;;;;;67;29;1;SE;21
501186;2024-10-11 10:00:00;;;;;72;27;1;SE;21
501186;2024-10-11 11:00:00;;;;;77;26;1;S;4
501186;2024-10-11 12:00:00;24.0;32.0;55.0;93.0;78;26;1;S;4
501186;2024-10-11 13:00:00;;;;;79;26;1;S;4
501186;2024-10-11 14:00:00;;;;;83;26;1;NW;2
501186;2024-10-11 15:00:00;;;;;86;25;1;NW;2
501186;2024-10-11 16:00:00;;;;;88;25;1;NW;2
501186;2024-10-11 17:00:00;;;;;90;24;1;N;3
501186;2024-10-11 18:00:00;;;;;92;24;1;N;3
501186;2024-10-11 19:00:00;;;;;93;24;1;N;3
501186;2024-10-11 20:00:00;;;;;93;24;1;NE;3
501186;2024-10-11 21:00:00;;;;;92;24;1;NE;3
501186;2024-10-11 22:00:00;;;;;93;24;1;NE;3
501186;2024-10-11 23:00:00;;;;;89;24;1;NW;2
501186;2024-10-12 00:00:00;;;;;78;26;1;NW;2
501186;2024-10-12 01:00:00;;;;;69;29;1;NW;2
501186;2024-10-12 02:00:00;;;;;59;31;1;NW;2
501186;2024-10-12 03:00:00;;;;;54;32;1;NW;2
